order_id,customer_id,order_date,status
1,841,2025-06-24 15:31:45,shipped
2,286,2025-05-08 14:13:29,delivered
3,899,2026-03-09 03:53:37,processing
4,445,2026-01-14 22:01:40,processing
5,261,2026-02-14 00:38:40,delivered
6,943,2025-06-04 23:07:40,processing
7,714,2025-06-19 00:09:44,processing
8,309,2026-03-01 17:59:19,cancelled
9,671,2025-09-16 04:06:19,processing
10,675,2025-09-28 22:03:04,delivered
11,231,2026-02-04 21:10:51,shipped
12,626,2026-02-28 17:18:31,delivered
13,152,2026-02-03 16:20:41,delivered
14,824,2026-03-28 20:03:18,cancelled
15,137,2025-05-18 18:32:26,cancelled
16,487,2025-11-26 12:03:16,cancelled
17,282,2025-07-09 20:54:28,cancelled
18,344,2025-07-03 23:28:29,processing
19,724,2025-05-12 07:30:18,shipped
20,556,2026-04-05 18:08:04,cancelled
21,21,2025-05-14 22:57:54,cancelled
22,766,2025-08-08 17:23:54,shipped
23,345,2026-02-17 05:31:10,cancelled
24,28,2025-11-28 22:07:38,cancelled
25,267,2025-11-03 13:49:02,cancelled
26,901,2025-12-19 06:15:02,cancelled
27,768,2026-03-08 14:01:31,delivered
28,205,2026-04-27 15:24:17,delivered
29,477,2026-01-19 02:38:04,processing
30,593,2026-04-06 07:41:10,delivered
31,708,2025-10-25 12:14:27,shipped
32,825,2025-11-15 02:26:29,delivered
33,350,2025-11-09 05:06:34,delivered
34,849,2025-11-10 03:59:19,cancelled
35,989,2026-03-29 02:03:56,processing
36,958,2025-12-04 15:14:47,delivered
37,685,2025-10-14 22:25:10,cancelled
38,218,2025-09-10 08:20:52,processing
39,530,2026-01-18 04:06:15,shipped
40,501,2025-07-18 11:19:00,shipped
41,415,2026-01-21 22:43:21,shipped
42,564,2026-02-09 01:38:22,processing
43,124,2026-02-02 02:27:28,shipped
44,496,2026-01-26 11:09:09,processing
45,310,2026-04-03 20:52:17,delivered
46,654,2025-09-19 05:36:16,cancelled
47,481,2026-01-11 20:38:55,cancelled
48,842,2025-11-13 10:27:39,delivered
49,577,2025-09-13 11:23:31,processing
50,783,2025-07-08 09:38:10,cancelled
51,313,2025-07-28 15:36:46,delivered
52,178,2025-12-31 05:46:01,delivered
53,609,2025-11-21 10:58:47,cancelled
54,720,2025-09-27 20:05:04,cancelled
55,811,2026-04-21 15:38:24,shipped
56,62,2025-05-21 07:58:03,shipped
57,312,2026-03-03 20:51:54,cancelled
58,911,2026-03-19 01:53:06,cancelled
